clicks_per_minute,avg_time_between_clicks_sec,unique_pages_visited,sensitive_pages_accessed,session_duration_min,data_downloaded_mb,label
6.185279708215475,8.376873039749338,6,2,12.62124628167453,0.0,0
1.6793326561217574,5.194179985904145,0,0,24.467750249584007,0.9329201885689027,0
8.165597727590267,6.579023938925934,3,0,14.922148049949683,0.0,0
6.938942721298982,8.552587181494644,7,0,18.561512289263316,3.4844059812401964,0
10.570926610948359,6.439951534156461,2,0,39.01046507994684,2.7054807658763242,0
7.905682488875671,8.706030376486995,7,1,12.505051135737904,1.4748962577378348,0
6.057374583094522,6.602861626238079,7,0,24.587551706371848,1.969426334629659,0
11.080683854773742,7.2430060196378685,2,2,34.08911724166661,1.0778433287828508,0
7.1780207545120875,6.4983326563775385,4,0,32.0806878531183,1.923639494576106,0
7.466246372586806,6.685527215942896,3,0,27.286577742041942,1.760563723937319,0
7.415908111649955,10.38462603820975,2,0,36.103101279378656,2.1585687793000923,0
6.3676579936574225,5.607077820426623,5,0,19.819738204811475,0.9593606922027971,0
28.479363882230604,2.2327955825503136,8,4,4.662351635262551,45.00116234533894,1
12.081975787515953,9.722013409539548,4,1,40.88415858333078,0.889285402241897,0
6.115551800733073,8.713330239738813,9,0,29.42127642278372,1.045908646176946,0
7.597162513441088,7.867499371921925,6,0,24.107939347934696,1.7883935419495294,0
10.894554899292373,7.091921872097868,5,2,26.42499747786002,4.58213753303592,0
6.834437674450973,10.196221791503518,5,0,30.529966399924376,1.678786116625414,0
6.259951002038946,7.516405469402274,1,0,19.06685838063217,0.9193456731150826,0
7.129176367434046,5.579969114216896,4,0,0.0,0.0,0
19.43626212746595,1.102261158471879,18,5,97.93443705413742,51.6854283628952,1
8.633052401607856,6.776305791827374,3,0,31.694701644574632,2.954457044523272,0
5.631984482840977,4.969415251500369,8,1,23.39418096730575,4.087957485267804,0
15.933030041051104,7.119819548159007,6,0,26.807790181344718,2.222675911402169,0
12.427637451511895,9.280026572801571,6,0,29.32114165325074,0.0,0
7.967398588895083,8.568569506527503,6,0,26.6426915594992,0.9740995152045557,0
9.523973980737631,7.783657415432203,4,0,43.062345383465114,1.5496973950146495,0
9.773408353771798,9.196471607046853,2,0,17.417374059817714,1.2208262161233683,0
20.697850539156256,2.1676153848248454,13,4,89.52109670809048,48.14582253314251,1
13.113776279892132,4.750956640772209,6,0,30.175985956695968,2.815757130382572,0
10.770525848142107,7.918322631957116,3,0,23.94067093312554,0.7413163882910188,0
6.563724285434935,8.02704273850947,5,0,21.657388352254657,1.499820235961419,0
6.431830938442881,10.184049797152166,8,0,34.892721912362425,0.0,0
8.347473761680838,4.70164079556644,6,0,23.038535692472642,0.0,0
6.207563425926789,7.904579985141837,5,0,35.74435669475871,0.0,0
8.786200427260177,5.921140412443163,6,1,26.429332830289056,0.5533346354715594,0
6.321361144131593,6.201150438027966,2,0,14.544666166304436,1.2967859030356457,0
12.592252497031092,9.821384640841789,5,1,26.899130365694706,0.9369450610066294,0
8.395783900315871,7.2266689278106035,7,0,23.475409431243843,0.0,0
8.268742043765746,8.002258552129152,3,2,23.723599305210556,3.120607854922344,0
11.654584135262768,9.967780307535524,6,1,29.139856289289938,1.2451568003297564,0
28.445490021778177,1.7868310310333186,10,6,86.26200096377531,63.006833260600004,1
8.751884696309906,7.53235573040836,4,2,5.155909823999924,1.625160697515268,0
